ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 3;РЕК М-4 км 933-км 1024;№01/07-П-1;01.07.2026;Штабель АБЗ;ГЛК;01.07.2026;Песок по ГОСТ 32730;-;ООО Трансстроймеханизация;№01/07-П-1;02.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№27/06-П-2;27.06.2026;Штабель АБЗ;ГЛК;27.06.2026;Песок по ГОСТ 32730;-;ООО Трансстроймеханизация;№27/06-П-2;28.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№02/07-ПГ;02.07.2026;Штабель КМ 1002;ГЛК;02.07.2026;Грунт по ГОСТ 33063;-;ООО Трансстроймеханизация;№02/07-ПГ;03.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№27/06-ПГ;27.06.2026;Штабель КМ 1002;ГЛК;27.06.2026;Грунт по ГОСТ 33063;-;ООО Трансстроймеханизация;№27/06-ПГ;28.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№09/06-В25-МО10;09.06.2026;КМ 974+800;ГЛК;09.06.2026;Бетонные образцы-кубы;-;АО Дороги и Мосты Мостоотряд-10;№09/06-В25-МО10;07.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№06/07-ВСП;06.07.2026;ТР.развязка КМ 879, Съезд №2, ПК 6+00;ГЛК;06.07.2026;Керны АБ SMA-16 по ГОСТ Р 58401.2;-;ООО Трансстроймеханизация;№06/07-ВСП;07.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№06/07-НСП;06.07.2026;ППЧ, ПК 10033+00 правая полоса,;ГЛК;06.07.2026;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№06/07-НСП;07.07.2026;Не соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№06/07-ВСО;06.07.2026;ППЧ, ПК 10033+00 правая полоса, ПК 10023+00 левая полоса;ГЛК;06.07.2026;Керны АБ SP-32Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№06/07-ВСО;07.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№08/06-В35-МО1;08.06.2026;КМ 1000+001;ГЛК;08.06.2026;Бетонные образцы-кубы;-;АО Дороги и Мосты Мостоотряд-1;№08/06-В35-МО1;06.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№09/06-В25-МО1;09.06.2026;КМ 1000+001;ГЛК;09.06.2026;Бетонные образцы-кубы;-;АО Дороги и Мосты Мостоотряд-1;№09/06-В25-МО1;07.07.2026;Соответствует;
