ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;17/06/01/Т-13-03;17.06.2025;ПК170+75 ВПТ;ГСК;18.06.2025;Грунт по ГОСТ 25100;-;;17.06.2025-72;28.06.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;17/06/02/Т-13-03;17.06.2025;ПК 83+00 ВПТ;ГСК;18.06.2025;Грунт в кольцах ;-;;17.06.2025-73;28.06.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;17/06/02/Т-13-03;17.06.2025;ПК170+75 ВПТ;ГСК;18.06.2025;Грунт в кольцах ;-;;17.06.2025-74;28.06.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;06/06/03/Т-13-03;06.06.2025;ПК124+80 лево, штабель;ГСК;07.06.2025;ЩПС С-4 по ГОСТ 25607;-;АО Замчаловское КУ;06.06.2025-75;20.06.2025;Соответствует;арбитражная проба
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;133/06/01/Т-13-03;13.06.2025;ПК278+25 ВПТ;ГСК;24.06.2025;Бетонные образцы-кубы;-;ООО ТК СБМ;13.06.2025-76;11.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;22/06/01/Т-13-03;22.06.2025;ПК99+50 лево, штабель;ГСК;26.06.2025;ЩПС С-4 по ГОСТ 25607;-;;22.06.2025-77;30.06.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;24.06.2025/43 ОП РЗ 43К-03;24.06.2025;ПК124+00, штабель;ГСК;26.06.2025;ЩПС С-4 по ГОСТ 25607;-;ООО Торезский карьер;24.06.2025-78;30.06.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;БК/29.06/2/43К-03;29.06.2025;ПК221+00 лево;ГСК;03.07.2025;Бетонные образцы-кубы;-;;29.06.2025-79;27.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;БК/29.06/1/43К-03;29.06.2025;ПК183+70 лево;ГСК;29.06.2025;Бетонные образцы-кубы;-;;29.06.2025-80;27.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;30.06/ПК67/43К-03;30.06.2025;ПК 67+00 право;ГСК;03.07.2025;АБС к/з пл. тип Б М II по ГОСТ 9128;-;;30.06.2025-81;08.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;04/07/01/Т-13-03;04.07.2025;АБЗ ООО Магистраль пгт Боково-Платова;ГСК;07.07.2025;АБС к/з пл. тип Б М II по ГОСТ 9128;-;;04.07.2025-82;11.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;05/07/04/Т-13-03 ;05.01.2025;ПК60+00 право  ;ГСК;07.07.2025;АБС к/з пл. тип Б М II по ГОСТ 9128;-;;05.07.2025-83;12.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;05/07/02/Т-13-03;05.07.2025;ПК30+40;ГСК;07.07.2025;Грунт по ГОСТ 25100;-;;05.07.2025-84;11.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;05/07/03/Т-13-03;05.07.2025;ПК30+40 ось/право;ГСК;07.07.2025;Грунт в кольцах ;-;;05.07.2025-85;11.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;05/07/01/Т-13-03;05.07.2025;ПК99+50 лево, штабель;ГСК;07.07.2025;ЩПС С-4 по ГОСТ 25607;-;;05.07.2025-86;10.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;06/07/01/Т-13-03;06.07.2025;ПК60+00-ПК100+00;ГСК;07.07.2025;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;-;;06.07.2025-87;10.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;06/07/02/Т-13-03;06.07.2025;ПК149+00 право, ПК231+00 право;ГСК;07.07.2025;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;-;;06.07.2025-88;10.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;09/07/01/Т-13-03;09.07.2025;АБЗ ООО Магистраль  ;ГСК;10.07.2025;АБС песчаная тип Г М II по ГОСТ 9128;-;;09.07.2025-89;15.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;13/07/01/Т-13-03;13.07.2025;ПК21+00 лево;ГСК;15.07.2025;АБС к/з пл. тип Б М II по ГОСТ 9128;-;;13.07.2025-90;21.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;16/04/01/Т-13-03;16.07.2025;ПК50+00-ПК24+15;ГСК;17.07.2025;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;-;;16.07.2025-91;20.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;17/07/01/Т-13-03;17.07.2025;ПК63+00 лево;ГСК;21.07.2025;ЩПС С-4 по ГОСТ 25607;-;АО Замчаловское КУ;17.07.2025-92;24.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;18/07/01/Т-13-03;18.07.2025;ПК324+00 лево;ГСК;21.07.2025;АБС ЩМА-20 по ГОСТ 31015;-;;18.07.2025-93;26.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;23/07/01/Т-13-03;23.07.2025;ПК286+00 лево;ГСК;25.07.2025;АБС ЩМА-20 по ГОСТ 31015;-;;23.07.2025-95;27.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;28.07/43ОП РЗ 43К-03/0-32;28.07.2025;ПК330+00-ПК260+00;ГСК;29.07.2025;Керны АБ ЩМА-20 по ГОСТ 31015;-;;28.07.2025-96;30.07.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-03 км 0+000-км 32+800;01.07.2025/Т-13-03;01.07.2025;ПК263+80-ПК265+00право;ГСК;31.07.2025;Бетонные образцы-кубы;-;ООО ДМП;01.07.2025-97;31.07.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;26.07/25-01;26.07.2025;Устройство (бетонирование) монолитного кювета. ПК 1020+00 (право);ГЛК;26.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;26.07/25-01;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;26.07/25-03;26.07.2025;Устройство монолитных бетонных упоров Б1. Гаситель ,тип №5. ПК 903+02,80- ПК 908+63,54(право);ГЛК;26.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;26.07/25-03;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;26.07/25-04;26.07.2025;Устройство (укрепление) конуса насыпи на ОП№1. ПК 991+50 ИССО 6;ГЛК;26.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;26.07/25-04;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;26.07/25-05;26.07.2025;Устройство (бетонирование) стенок гасителя. ПК 1364+20;ГЛК;26.07.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;26.07/25-05;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.07/25-01;05.07.2025;Укрепление стенок кювета. ПК 1398+60- ПК 1399+20(лево);ГЛК;05.07.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;05.07/25-01;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.07/25-02;05.07.2025;Устройство водосбросов. ПК 1156;ГЛК;05.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;05.07/25-02;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.07/25-03;05.07.2025;Устройство блоков Б-1, водоотвод. ПК 1263;ГЛК;05.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;05.07/25-03;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.07/25-04;05.07.2025;Устройство быстротока. Нагорная канава 5.3. ПК 1045+00(лево);ГЛК;05.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;05.07/25-04;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.07/25-05;05.07.2025;Устройство (бетонирование) водобойного колодца. ПК 1134+00;ГЛК;05.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;05.07/25-05;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.07/25-06;05.07.2025;Устройство шумозащитных экранов. ПК 988+54- ПК 988+69, ПК 989+32- ПК 989+77;ГЛК;05.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;05.07/25-06;02.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;27.07/25-04;27.07.2025;Устройство откосов насыпи на подтопляемых участках. ПК 1127+00 ИССО 15;ГЛК;27.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;27.07/25-04;03.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;27.07/25-05;27.07.2025;Устройство фундамента под знаки. А/Д Бураево-Куеда;ГЛК;27.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;27.07/25-05;03.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;27.07/25-05;27.07.2025;Устройство фундамента под знаки. А/Д Бураево-Куеда;ГЛК;27.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;27.07/25-05;03.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;27.07/25-06;27.07.2025;Устройство (укрепление) откосов и русла монолитным бетоном. ПК 915+85;ГЛК;27.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;27.07/25-06;03.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;06.07/25-01;06.07.2025;Устройство защитного слоя лотковой плиты. ПК 1057+77,69(лево) ИССО11;ГЛК;06.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;06.07/25-01;03.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;06.07/25-02;06.07.2025;Устройство фундамента дорожных знаков. ПК 1127+00,сельхозпроезд;ГЛК;06.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;06.07/25-02;03.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;06.07/25-03;06.07.2025;Устройство кювета. Нагорная канава 5.2. ПК 1028+00(право);ГЛК;06.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;06.07/25-03;03.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;06.07/25-04;06.07.2025;Устройство упор быстротоков Б-7. ПК 901+00- ПК 901+21,32;ГЛК;06.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;06.07/25-04;03.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;02.08/25-01;02.08.2025;Укрепление дна кювета. ПК 1020, сельхозпроезд;ГЛК;02.08.2025;Щебень фр. 40-70 мм по ГОСТ 8267;-;ООО СУ№926;02.08/25-01;03.08.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-30 км 22+200-км 41+320;01.08/43К-30;01.08.2025;ПК79+40 право, ПК80+00 право, ПК81+60 право;ГСК;02.08.2025;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;-;;01.08.2025-68;05.08.2025;Не соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-30 км 22+200-км 41+320;01.08/1/43К-30;01.08.2025;ПК53+00-ПК13+00;ГСК;02.08.2025;Керны АБ ЩМА-20 по ГОСТ 31015;-;;01.08.2025-69;04.08.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-30 км 22+200-км 41+320;24.06./2/Т-13-10;24.06.2025;ПК 156 право, штабель;ГСК;25.06.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;;24.06.2025-70;05.08.2025;Соответствует;арбитражная проба
ПЛП 4;КР 43 ОП РЗ 43К-14 км 31+647-км 53+007;02.08.25/ЩМА-20;02.08.2025;ПК142 лево, ША;ГСК;03.08.2025;АБС ЩМА-20 по ГОСТ 31015;-;;02.08.2025-58;06.08.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-13 км 0+000-км 75+780 (II этап км 50+780-км 75+780);02.08/АДИ;02.08.2025;ПК30+00-ПК248+00;ГСК;03.08.2025;Керны АБ ЩМА-20 по ГОСТ 31015;-;;02.08.2025-69;04.08.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-13 км 0+000-км 75+780 (I этап км 0+000-км 50+780);27.07.25/Т-13-13-РИС;27.07.2025;ПК105+00 лево, ПК 103+00 право;ГСК;02.08.2025;Керны АБ ЩМА-20 по ГОСТ 31015;-;;27.07.2025-130;04.08.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-13 км 0+000-км 75+780 (I этап км 0+000-км 50+780);28.07.2025/Т-13-13-РИС;28.07.2025;ПК 71+00 право;ГСК;02.08.2025;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;-;;28.07.2025-131;05.08.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-13 км 0+000-км 75+780 (I этап км 0+000-км 50+780);30.07.25/Т-13-13-РИС;30.07.2025;ПК67+00 право;ГСК;02.08.2025;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;-;;30.07.2025-132;05.08.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-13 км 0+000-км 75+780 (I этап км 0+000-км 50+780);30.07.2025/Т-13-13-РИС;30.07.2025;ПК66+00 право;ГСК;02.08.2025;АБС ЩМА-20 по ГОСТ 31015;-;;30.07.2025-133;03.08.2025;Соответствует;
ПЛП 4;КР 43 ОП РЗ 43К-13 км 0+000-км 75+780 (I этап км 0+000-км 50+780);31.07.25/Т-13-13-РИС;31.07.2025;ПК5+00 право;ГСК;02.08.2025;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;-;;31.07.2025-134;05.08.2025;Соответствует;
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;БК/22.05/43К-03;22.05.2025;ПК98+00-ПК99+80 лево;ГСК;27.05.2025;Бетонные образцы-кубы;-;;22.05.2025-11;19.06.2025;Не соответствует;
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;17.05/ПК69/Т-13-17;17.05.2025;ПК65+90-ПК70+00 лево, право;ГСК;24.05.2025;АБС к/з пл. тип Б М II по ГОСТ 9128;-;;17.05.2025-15;05.06.2025;Соответствует;арбитражная проба
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;УпорОК1/05.06/43К-03;05.06.2025;Мост через р. Лугань на км 10+727;ГСК;08.06.2025;Бетонные образцы-кубы;-;ООО Восток-Бетон;05.06.2025-16;03.07.2025;Соответствует;
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;24.05/ПК42/Т-13-17/Нов.Айд;24.05.2025;ПК40+60-ПК42+60 лево;ГСК;28.05.2025;АБС к/з пл. тип Б М II по ГОСТ 9128;-;;24.05.2025-17;16.06.2025;Не соответствует;арбитражная проба
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;24.06К/ПК8/18/28/38/88.78/Т-13-17;24.06.2025;ПК8+00-ПК88+78;ГСК;24.06.2025;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;-;;24.06.2025-18;26.06.2025;Не соответствует;
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;24.06К/ПК98/100.90/140/Т-13-17;24.06.2025;ПК 98+00 право, ПК100+90 право, ПК140+00 лево;ГСК;24.06.2025;Керны АБ к/з пл. тип Б М II по ГОСТ 9128;-;;24.06.2025-19;26.06.2025;Не соответствует;
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;26.06/ЩМА/ПК/Т-13-17;26.06.2025;ПК137+00 лево;ГСК;26.06.2025;АБС ЩМА-20 по ГОСТ 31015;-;;26.06.2025-20 ;07.07.2025;Соответствует;
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;Щеб20-40/29.06/43К-03;29.06.2025;штабель на объекте мост через р. Лугань на км 10+727;ГСК;01.07.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ООО Успенский карьер;29.06.2025-21;03.07.2025;Соответствует;
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;29.К.ЩМА/ПК137+00/Т-13-17;29.06.2025;ПК137+85 лево;ГСК;01.07.2025;Керны АБ ЩМА-20 по ГОСТ 31015;-;;29.06.2025-22;02.07.2025;Соответствует;
ПЛП 4;КР 43 ОП МЗ 43Н-088 км 0+000 ? км 14+500;Упор/18.06/43К-03;18.06.2025;Мост через р. Лугань на км 10+727;ГСК;05.07.2025;Бетонные образцы-кубы;-;ООО Восток-Бетон;18.06.2025-23 ;16.07.2025;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;21.07.2001;21.07.2025;ПК314 право, штабель;ГСК;05.08.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;АО Богаевский карьер;21.07.2001;06.08.2025;Соответствует;
ПЛП 6;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);350;31.01.2025;Временная база на км 73 лево;ГСК;06.08.2025;АБС м/з тип Б М I по ГОСТ 9128;-;ООО Трансстроймеханизация;350;07.08.2025;Соответствует;
ПЛП 6;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);351;31.07.2025;Временная база на км 73 лево;ГСК;06.08.2025;АБС к/з пористая М I по ГОСТ 9128;-;ООО Трансстроймеханизация;351;07.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;28.07/25-01;28.07.2025;Устройство (укрепление) откосов насыпи на подтопляемых участках. ПК 1127+00;ГЛК;28.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;28.07/25-01;04.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;28.07/25-02;28.07.2025;Устройство (укрепление) упоров на входе и выходе ВПТ. Устройство упоров Б1. ПК 901+35(лево);ГЛК;28.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;28.07/25-02;04.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;07.07/25-01;07.07.2025;Устройство (укрепление) бетоном выходного оголовка, ВПТ. ПК 1039+28,97;ГЛК;07.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;07.07/25-01;04.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;07.07/25-02;07.07.2025;Устройство быстротока. ПК 1071+00(лево);ГЛК;07.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;07.07/25-02;04.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;07.07/25-03;07.07.2025;Устройство водосбросов. ПК 1236;ГЛК;07.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;07.07/25-03;04.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;07.07/25-05;07.07.2025;Устройство ростверки Рм (шуиозащитные экраны) ПК 988+68- ПК 988+83, ПК 989+10- ПК 989+32, ПК 989+77- ПК 990+07;ГЛК;07.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;07.07/25-05;04.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;07.07/25-06;07.07.2025;Устройство укрепления кювета. ПК 1337;ГЛК;07.07.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;07.07/25-06;04.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;02.08/25-02;02.08.2025;ПК 976+00. Устройство основания конуса насыпи, укрепление трубы.;ГЛК;02.08.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ООО СКАвтодор;02.08/25-02;04.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;03.08/25-01;03.08.2025;Устройство обратной засыпки ВПТ. ПК 26+50 съезд №2.2(ПК 3+00);ГЛК;03.08.2025;ПГС по ГОСТ 23735;-;ООО Волгодорстрой;03.08/25-01;05.08.2025;Не соответствует;Не соответствует по показателям : коэффициент фильтрации, Содержание пылевидных и глинистых частиц (смесь ПГС).
ПЛП 1;СТР М-12 Д-А, 1-й этап;03.08/25-02;03.08.2025;Устройство обратной засыпки ВПТ (ПК 3+00). МФЗ ПК 26+50, проезд №2.2 лево (1-8 слои);ГЛК;03.08.2025;Грунт в кольцах ;-;ООО Волгодорстрой;03.08/25-02;05.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;03.08/25-02;03.08.2025;Устройство обратной засыпки ВПТ (ПК 3+00). МФЗ ПК 26+50, проезд №2.2 лево (1-8 слои);ГЛК;03.08.2025;Грунт в кольцах ;-;ООО Волгодорстрой;03.08/25-02;05.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;03.08/25-03;03.08.2025;Устройство нижнего слоя основания. ПК 29+00, штабель;ГЛК;03.08.2025;ЩПС С-4 по ГОСТ 25607;-;ООО Волгодорстрой;03.08/25-03;05.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;04.08/25-02;04.08.2025;Устройство ДСО. МФЗ ПК 26+50 проезд №2.2(лево), 1-й и 2-й слои.(ПК 0+00- ПК 3+31);ГЛК;04.08.2025;Грунт в кольцах ;-;ООО Волгодорстрой;04.08/25-02;05.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;29.07/25-01;29.07.2025;Устройство (укрепление) быстротока. Нагорная канава 5.1. ПК 1028+00 (лево);ГЛК;29.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;29.07/25-01;05.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;29.07/25-02;29.07.2025;Устройство (укрепление) откосов и русла монолитным бетоном. ПК 915+85;ГЛК;29.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;29.07/25-02;05.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;29.07/25-03;29.07.2025;Устройство дна кювета, откосы гасителей. ПК 1323+03- ПК 1323+69;ГЛК;29.07.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;29.07/25-03;05.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;08.07/25-01;08.07.2025;Устройство монолитного бортового камня. ПК 1264;ГЛК;08.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;08.07/25-01;05.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;08.07/25-03;08.07.2025;Устройство (укрепление) конуса насыпи ОК1. ПК 979+13 ИССО 5;ГЛК;08.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;08.07/25-03;05.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;04.08/25-01;04.08.2025;Устройство основания щебня в кювете (откосы). ПК 1349+00;ГЛК;04.08.2025;Щебень фр. 5-20 мм по ГОСТ 8267;-;АО Донаэродорстрой;04.08/25-01;06.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;30.07/25-01;30.07.2025;Устройство (бетонирование) банкеток. ПК 1020+00 ИССО 8 (право);ГЛК;30.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;30.07/25-01;06.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;09.07/25-05;09.07.2025;Устройство замка бортового камня. ПК 644+50- ПК 645+50, МФЗ №1;ГЛК;09.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;09.07/25-05;06.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;09.07/25-06;09.07.2025;Устройство (бетонирование) гасителя, тип 5. ПК  1071+00 9(лево);ГЛК;09.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;09.07/25-06;06.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;09.07/25-07;09.07.2025;Устройство (укрепление) конусов. ПК 1127+00;ГЛК;09.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;09.07/25-07;06.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;09.07/25-08;09.07.2025;Устройство оголовка трубы. ПК 1021+80;ГЛК;09.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;09.07/25-08;06.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;09.07/25-09;09.07.2025;Устройство (укрепление) русла трубы. ПК 1264;ГЛК;09.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;09.07/25-09;06.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;09.07/25-10;09.07.2025;Устройство фундамента под шлагбаум. ПК 1263;ГЛК;09.07.2025;Бетонные образцы-кубы;-;ООО НПС//Трансстроймеханизация;09.07/25-10;06.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;05.08/25-02;05.08.2025;Устройство заполнение георешетки. Штабель на АБЗ.;ГЛК;05.08.2025;Щебень фр. 40-70 мм по ГОСТ 8267;-;АО Донаэродорстрой;05.08/25-02;07.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;31.07/25-01;31.07.2025;Устройство блока упора. ПК 1331+85;ГЛК;31.07.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;31.07/25-01;07.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;31.07/25-02;31.07.2025;Устройство (укрепление) конуса насыпи ОК2. ПК 991+50 ИССО 6 (право);ГЛК;31.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;31.07/25-02;07.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;10.07/25-01;10.07.2025;Устройство гасителя 5-го типа. ПК 1072+00(лево);ГЛК;10.07.2025;Бетонные образцы-кубы;-;ООО СУ№926;10.07/25-01;07.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;10.07/25-03;10.07.2025;Устройство обоймы трубы на ЛОС. ПК 978+22;ГЛК;10.07.2025;Бетонные образцы-кубы;-;ООО СКАвтодор;10.07/25-03;07.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;01.08/25-01;01.08.2025;Устройство водосбросов. ПК 1127+00;ГЛК;01.08.2025;Бетонные образцы-кубы;-;ООО СУ№926;01.08/25-01;08.08.2025;Соответствует;
ПЛП 1;СТР М-12 Д-А, 1-й этап;01.08/25-02;01.08.2025;Устройство (укрепление) откосной части кювета. ПК 1331+95- ПК 1332+00;ГЛК;01.08.2025;Бетонные образцы-кубы;-;АО Донаэродорстрой;01.08/25-02;08.08.2025;Соответствует;
